Balance,RiskBudget,MeanDistortion,MedianDistortion,MaxDistortion,MinDistortion,PctTradesDistorted,MeanActualRiskPct,MaxActualRiskPct,MarginPassPct,Executable
340,1.7,7.589386189258317,6.519411764705932,20.280588235294037,1.6923529411767102,100.0,3.7946930946291584,10.140294117647018,100.0,True
350,1.75,7.372546583850937,6.333142857142906,19.701142857142777,1.6440000000002328,100.0,3.6862732919254686,9.850571428571389,100.0,True
360,1.8,7.1677536231884105,6.157222222222269,19.15388888888881,1.5983333333335596,100.0,3.5838768115942052,9.576944444444406,100.0,True
370,1.85,6.974030552291426,5.9908108108108555,18.63621621621614,1.5551351351353553,100.0,3.487015276145713,9.31810810810807,100.0,True
380,1.9000000000000001,6.790503432494284,5.833157894736886,18.145789473684136,1.514210526316004,100.0,3.395251716247142,9.072894736842068,100.0,True
390,1.95,6.616387959866226,5.683589743589787,17.68051282051275,1.4753846153848245,100.0,3.308193979933113,8.840256410256375,100.0,True
400,2.0,6.45097826086957,5.541500000000042,17.23849999999993,1.4385000000002037,100.0,3.225489130434785,8.619249999999965,100.0,True
410,2.05,6.2936373276776285,5.406341463414675,16.818048780487736,1.40341463414654,100.0,3.1468186638388143,8.409024390243868,100.0,True
420,2.1,6.143788819875781,5.277619047619087,16.41761904761898,1.370000000000194,100.0,3.0718944099378906,8.20880952380949,100.0,True
430,2.15,6.0009100101112285,5.154883720930272,16.035813953488308,1.3381395348839105,100.0,3.0004550050556142,8.017906976744154,100.0,True
440,2.2,5.864525691699608,5.037727272727311,15.671363636363573,1.307727272727458,100.0,2.932262845849804,7.835681818181786,100.0,True
450,2.25,5.734202898550729,4.925777777777815,15.323111111111048,1.2786666666668478,100.0,2.8671014492753644,7.661555555555524,100.0,True
460,2.3000000000000003,5.609546313799625,4.8186956521739495,14.98999999999994,1.2508695652175685,100.0,2.8047731568998127,7.49499999999997,100.0,True
470,2.35,5.490194264569848,4.716170212765993,14.671063829787176,1.2242553191491095,100.0,2.745097132284924,7.335531914893588,100.0,True
480,2.4,5.375815217391308,4.6179166666667015,14.365416666666608,1.1987500000001698,100.0,2.687907608695654,7.182708333333304,100.0,True
